Title,Link,Date,Content,Sentiment,Last_Name,Full_Name,Formatted_Date
Apology,https://myrepublica.nagariknetwork.com/news/apology/,"Published On: 
                                                    September 23, 2024 03:16 PM NPT
                                                                                                            By: Republica",No content,Negative,,,2024-09-23 15:16:00
Former DIG Joshi presented at Kaski District Court,https://myrepublica.nagariknetwork.com/news/former-dig-joshi-presented-at-kaski-district-court/,"Published On: 
                                                    September 23, 2024 02:05 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: Former DIG Chhabilal Joshi, who was arrested in the co-operative fraud case, has been presented to the District Court, Kaski. Joshi, who was arrested from Kathmandu and taken to Pokhara, was presented before the court today to extend his custody for further investigation. He is one of the former directors of Gorkha Media. The parliamentary investigation committee led by Surya Thapa directed to arrest and take action against four individuals including Joshi. The committee concluded that he had also a major role in misusing funds from various cooperatives. Joshi was arrested following the decision to implement the committee’s decision.",Negative,Joshi,Chhabilal Joshi,2024-09-23 14:05:00
Maoist Center Chairman Dahal congratulates newly-elected Sri Lankan president,https://myrepublica.nagariknetwork.com/news/maoist-center-chairman-dahal-congratulates-newly-elected-sri-lankan-president/,"Published On: 
                                                    September 23, 2024 01:07 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: CPN (Maoist Center) Chairman Pushpa Kamal Dahal has congratulated Anura Kumara Dissanayake for securing a historic victory in the election to the ninth President of Sri Lanka. The Maoist Center chairman took to social media to extend his best wishes to the newly-elected Sri Lankan president and to the alliance under his leadership as well as to his party, the JVP. ""I salute the Sri Lankan people who elected a Marxist leader as the right solution to corruption, economic crisis and geo-political tensions. I have the confidence that the relations between Nepal and Sri Lanka will be further cordial during his term in office,"" Dahal said. (RSS)",Positive,Dahal,Pushpa Kamal Dahal,2024-09-23 13:07:00
Former Sri Lankan president Rajapaksa arrives in Kathmandu,https://myrepublica.nagariknetwork.com/news/former-sri-lankan-president-rajapaksa-arrives-in-kathmandu/,"Published On: 
                                                    September 23, 2024 01:05 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: Former president of Sri Lanka Gotabaya Rajapaksa has landed at the Tribhuvan International Airport via Sri Lankan Airlines on Monday. A source within the embassy stated that he has plans to visit different Buddhist sites and is also scheduled to visit Bharatpur. It is reported that Rajapaksa is believed to have close ties with the Chaudhary Group, which has investments in various sectors in Sri Lanka and has been inviting him to visit Nepal. This trip is more personal and family-oriented rather than political. Rajapaksa will be staying at Hotel Vivanta in Jhamsikhel today. Following a massive uprising in Sri Lanka, Rajapaksa had to flee the country two years ago. He later returned to Sri Lanka. In Sri Lanka, the newly elected President Anura Kumara Dissanayake, who is Marxist-leaning, was sworn in today.",Neutral,,,2024-09-23 13:05:00
Foreign Minister Rana holds meetings with her counterparts from various countries,https://myrepublica.nagariknetwork.com/news/foreign-minister-rana-holds-meetings-with-her-counterparts-from-various-countries/,"Published On: 
                                                    September 23, 2024 12:40 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: Foreign Affairs Minister Dr Arzu Rana Deuba, who is currently in New York to participate in the 79th United Nations General Assembly, held bilateral meetings with her counterparts from various countries. According to her secretariat, on Sunday, Rana had a bilateral meeting with Indonesia’s Foreign Minister Retno LP Marsudi, during which they also signed an agreement. In the meeting, they discussed various topics of bilateral interest between Nepal and Indonesia, as well as future opportunities to strengthen relations, partnership initiatives for development, and potential cooperation to mitigate the impacts of climate change. Similarly, they talked about mutual cooperation and investment opportunities in the tourism promotion sector between Nepal and Indonesia. On this occasion, the foreign ministers of both Nepal and Indonesia signed an agreement to waive visa fees for holders of diplomatic and official government passports on both sides. Following the agreement, Minister Rana stated that this agreement would play a significant role in further enhancing mutual relations with Indonesia in the coming days. Additionally, on the same day, Minister Rana held a bilateral meeting with Burundi’s Foreign Minister Albert Shingiro. They discussed mutual relations, bilateral interests, and potential future collaborations. Given that Nepal and Burundi are both landlocked countries heavily affected by climate change, Minister Rana also discussed how the two countries could work together to mitigate the impacts of climate change. On Sunday, Minister Rana also met with Finland’s Minister for Foreign Trade and Development, Ville Tavio. During the meeting, Minister Rana highlighted the long-standing friendly and close relations between Nepal and Finland, which have persisted for over 50 years. She expressed appreciation for Finland’s continued support in Nepal’s economic and social sectors. They also discussed various topics of bilateral interest and potential areas for mutual cooperation and partnership in the future. RSS",Positive,Rana,Rana Deuba,2024-09-23 12:40:00
"RSP leaders cut short China visit, returning to Nepal amid political developments",https://myrepublica.nagariknetwork.com/news/rsp-leaders-cut-short-china-visit-returning-to-nepal-amid-political-developments/,"Published On: 
                                                    September 23, 2024 12:35 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: Leaders of the Rastriya Swatantra Party (RSP), who were on a visit to China at the invitation of the International Department of the Communist Party of China, are returning to Nepal unexpectedly, cutting their trip short due to evolving political dynamics in Nepal. The team, which had gone to China for a 10-day visit at the official invitation of the Communist Party of China, is returning immediately, considering the political developments in Nepal. Accepting the invitation of the Communist Party of China, a 14-member team led by Vice Chairperson Dr Swarnim Wagle flew to China on Saturday at midnight for a 10-day visit. The team includes Party Vice Chairperson Swarnim Wagle, Head of the International Relations Department Shishir Khanal, Treasurer Lima Adhikari, Acting Spokesperson Manish Jha, and leaders Ganesh Parajuli, Toshima Karki, Asim Shah, Shiva Nepali, Basumaya Tamang, Nisha Mehta, Pukar Bam, Prakash Bista, Tapeshwor Yadav, and Khusbhu Sarkar Shrestha.",Neutral,Nepal,Nepal,2024-09-23 12:35:00
RSP activists stages demonstration against attempt to arrest Lamichhane in Pokhara,https://myrepublica.nagariknetwork.com/news/rsp-activists-stages-demonstration-against-attempt-to-arrest-lamichhane-in-pokhara/,"Published On: 
                                                    September 23, 2024 12:30 PM NPT
                                                                                                            By: Republica","POKHARA, Sept 23: The leaders-activists of Rastriya Swatantra Party (RSP) have staged a demonstration at Shahid Chowk in Pokhara district against the reported attempt to arrest Rabi Lamichhane, the chairman of the party. They protested, claiming that there is a “political bias aimed at framing Lamichhane.” The leaders-activists are gathering and protesting at Shahid Chowk, Pokhara, on the call of RSP Gandaki Province Chairman Rajan Gautam. The participants in the demonstration carried placards with slogans written in support of cooperative victims and opposing the government. Gautam said that the protest program will continue. A parliamentary probe committee, formed to investigate the misuse of cooperative funds has concluded that Rs 650 million was invested illegally in Gorkha Media Pvt Ltd from various co-operatives. The committee had recommended action against Rabi Lamichhane, the then Managing Director of Gorkha Media, chairman GB Rai, director Kumar Ramtel and member Chhabilal Joshi. Following the decision of the Council of Ministers to implement the report, former director of Gorkha Media Pvt Ltd and former DIG Chhabilal Joshi was arrested on Sunday in Kathmandu. He was arrested in Kathmandu and taken to Kaski on Sunday evening with police set to present Joshi in court today. After Joshi's arrest, RSP leaders and activists speculate that Rabi may also be arrested. Meanwhile, leaders including RSP Vice-chairman Dr Swarnim Wagle, who had gone to China for a 10-day visit, have planned to return to the country unexpectedly. On Sunday night, RSP called its supporters to gather at the party office in Banasthali.",Negative,Lamichhane,Rabi Lamichhane,2024-09-23 12:30:00
Program to welcome PM Oli and Foreign Minister Rana in New York postponed,https://myrepublica.nagariknetwork.com/news/program-to-welcome-pm-oli-and-foreign-minister-rana-in-new-york-postponed/,"Published On: 
                                                    September 23, 2024 10:15 AM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: The program to welcome Prime Minister KP Sharma Oli and Foreign Minister Arzu Rana Deuba in New York has been postponed at the last minute. The Nepali Consulate General in New York issued a statement announcing that the program scheduled for Monday had been postponed. ""The grand program scheduled for today has been postponed, taking into account Prime Minister KP Sharma Oli and Foreign Minister Arzu Rana Deuba's busy schedule with the UN General Assembly, the Committee of the Future, and other sideline meetings, as well as the security sensitivity of the event venue as advised by the concerned authorities,"" stated the notice issued by the Nepali Consulate General. Prime Minister Oli is in New York, leading the Nepali delegation to attend the 79th United Nations General Assembly. The Nepali community had scheduled a program today to welcome Prime Minister Oli and Foreign Minister Rana.",Neutral,Oli,Oli,2024-09-23 10:15:00
Indian PM to visit Nepal soon: Foreign Minister Rana,https://myrepublica.nagariknetwork.com/news/indian-pm-to-visit-nepal-soon-foreign-minister-rana/,"Published On: 
                                                    September 23, 2024 09:45 AM NPT
                                                                                                            By: Republica","NEW YORK (USA), Sept 23: Prime Minister KP Sharma Oli who is currently in New York to participate in the 79th session of the United Nations General Assembly, leading the Nepali delegation, held a bilateral meeting with Prime Minister of neighboring India, Narendra Modi, here on Sunday. The two Prime Ministers along with the foreign ministers and other officials of Nepal and India had a meeting at Lotte New York Palace Hotel in the USA. In his brief to the media after the meeting, PM Oli said the meeting was positive. According to Minister for Foreign Affairs, Dr Arzu Rana Deuba, who also attended the meeting, the meeting was held in a cordial manner. She also said that Indian PM Modi would make a Nepal visit soon. On the occasion, Minister for Foreign Affairs Rana, chief political advisor to the Prime Minister Bishnu Prasad Rimal, secretary at the Ministry of Foreign Affairs Sewa Lamsal and representative of the Permanent Mission of Nepal to the UN (Ambassador) Lok Bahadur Thapa on behalf of Nepal and External Affairs Minister S Jaishankar and Secretary Vikram Misri from the Indian side were present.",Positive,Nepal,Nepal,2024-09-23 09:45:00
PM Oli holds meeting with Kuwait's Crown Prince Sabah,https://myrepublica.nagariknetwork.com/news/pm-oli-holds-meeting-with-kuwait-s-crown-prince-sabah/,"Published On: 
                                                    September 23, 2024 09:35 AM NPT
                                                                                                            By: Republica","NEW YORK (USA), Sept 23: Prime Minister KP Sharma Oli who is currently in New York to participate in the 79th session of the United Nations General Assembly, leading the Nepali delegation, held a meeting with Crown Prince and Prime Minister of Kuwait, Sheikh Sabah Khaled Al-Hamad Al-Mubarak Al-Sabah, on Sunday. They had a meeting at the Office of Kuwait's Permanent Mission to the United Nations in New York.",Neutral,Oli,Oli,2024-09-23 09:35:00
"PM Oli, Indian PM Modi meet in New York",https://myrepublica.nagariknetwork.com/news/pm-oli-indian-pm-modi-meet-in-new-york/,"Published On: 
                                                    September 23, 2024 09:30 AM NPT
                                                                                                            By: Republica","NEW YORK (USA), Sept 23: Prime Minister KP Sharma Oli who is currently in New York to participate in the 79th session of the United Nations General Assembly (UNGA), leading the Nepali delegation, held a meeting with Prime Minister of India, Narendra Modi, here on Sunday. Matters related to Nepal-India bilateral interests and mutual benefits were discussed on the occasion. The meeting was also attended by the foreign ministers of both the countries and members of the delegations. RSS",Neutral,Oli,Oli,2024-09-23 09:30:00
PM Oli's US visit: Key agendas and high-level meetings with global leaders,https://myrepublica.nagariknetwork.com/news/pm-oli-s-us-visit-key-agendas-and-high-level-meetings-with-global-leaders/,"Published On: 
                                                    September 22, 2024 08:15 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 22: Prime Minister KP Sharma Oli, who is visiting the US to participate in the 79th session of the General Assembly at the headquarters of the United Nations, has started a high-level meeting from Saturday. He left for the visit leading the Nepali delegation on September 20. At the same time, a meeting was held between Prime Minister KP Sharma Oli and United Nations Secretary General Antonio Guterres on Saturday evening. On that occasion, PM Oli expressed his gratitude to Secretary General Guterres and requested that Nepal get climate justice, urging initiatives in this regard. Similarly, Secretary General Guterres expressed his commitment to the international community to do his best for the melting of mountains in Nepal and the resulting compensation. Prior to that, Deputy Secretary General Rabab Fatima, who is also the representative for underdeveloped, landlocked, developing and small island countries of the United Nations, met Prime Minister Oli at the office of the Nepali Mission. Today, PM Oli is scheduled to co-chair a session of 'The Summit of the Future' and address the plenary session. The United Nations Human Rights Commissioner is also holding a courtesy meeting with Prime Minister Oli on Sunday. Likewise, the Ministry of Foreign Affairs has said that a bilateral meeting is scheduled with the Prime Minister of Bhutan, Tshering Tobgay. After that, there will be a bilateral meeting with Prime Minister Oli and Kuwait's Crown Prince Sheikh Sabah Khaled Al-Hamad Al-Mubarak Al-Sabah. Similarly, a bilateral meeting is scheduled between PM Oli and his Indian counterpart Narendra Modi on Sunday. Their meeting is viewed with importance. This is Oli's first foreign visit after being appointed as the Prime Minister on July 14. It is said that various issues of Nepal-India relations will be discussed in the said meeting. PM Oli will interact with the Nepali community and is scheduled to attend a dinner organized on the same occasion on Sunday itself. On Monday, the prime minister will address the 'Lead-Free Future, Partnership Launch' program to be held at the UNICEF building. On the same day, he will deliver a keynote address at the 'Journey of Nepal's Democracy and Economic Prosperity' event to be held at Columbia University and interact with Nepali students. Prime Minister Oli will participate in the discussion of the General Assembly on Tuesday morning. On the same day, there will be a meeting between him and USAID administrator Samantha Power at the office of the Permanent Mission of Nepal to the UN. On the same day, separate bilateral meetings are scheduled with Prime Minister Oli and the President of the European Council, Charles Mitchell, with the Prime Minister of Samoa, Fiamē Naomi, and with the President and Prime Minister of Finland. A courtesy call will be held between Prime Minister Oli and MCC Chief Executive Officer Alice P Albright on Wednesday. He will address the group's high-level meeting on 'Existential threat posed by sea level rise'. At the same time, there will be a bilateral meeting between PM Oli and the Chief Advisor of Bangladesh. Prime Minister Oli will participate in the reception organized by US President Joe Biden on Wednesday. Separate bilateral meetings will be held between Prime Minister Oli and Prime Minister of Qatar, Prime Minister of Pakistan and Prime Minister of Laos on Thursday. On the same day, there will be a meeting between Prime Minister Oli and the President of the General Assembly, Philémon Yang, and Prime Minister Oli is scheduled to deliver a special address to the United Nations General Assembly. Prime Minister Oli is scheduled to address the program on 'Nepal's Perspective: From Transitional Justice to Climate Justice' at the John F Kennedy Jr Forum at Harvard University on Friday, September 27. Similarly, he will participate in the reception organized by the Nepali Embassy in Washington. First Lady Radhika Shakya, Foreign Minister Dr Arzu Rana Deuba, Chief Advisor to the Prime Minister Bishnu Prasad Rimal, Secretary at the Ministry of Foreign Affairs Sewa Lamsal, Prime Minister Oli's personal physician Dr Divya Singh, Chief Private Secretary Rajesh Bajracharya, Joint Secretary at the Ministry of Foreign Affairs Amrit Kumar Rai, Chief of Protocol Bishnu Prasad Gautam are among the visiting party led by Prime Minister Oli. Prime Minister Oli will return home on September 30.",Positive,Oli,KP Sharma Oli,2024-09-22 20:15:00
Home ministry directs police to act on report against Rabi Lamichhane,https://myrepublica.nagariknetwork.com/news/home-ministry-directs-police-to-act-on-report-against-rabi-lamichhane/,"Published On: 
                                                    September 22, 2024 04:43 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 22: Minister for Home Affairs Ramesh Lekhak has directed the Nepal Police Headquarters to take action based on a report from the parliamentary probe committee about the misuse of cooperative savings funds. The previous cabinet meeting decided to send this report to the ministry for action. Following that, instructions have been given to the Nepal Police Headquarters in Naxal for further investigation. They plan to submit the report to the Central Investigation Bureau (CIB) of Nepal Police and to the relevant districts for more investigation. The Kaski Police are looking into the Suryadarshan Cooperative. The committee has recommended action against Rabi Lamichhane, chairman of the Rastriya Swatantra Party (RSP), for misappropriating funds. They found him guilty as a shareholder and managing director of Gorkha Media, even though no documents confirmed his involvement in the money flow from cooperatives while he was the managing director of Gorkha Media Network. The committee, led by UML MP Surya Thapa, submitted its report to the House of Representatives on September 16. Speaker Devraj Ghimire instructed the secretariat to forward it to the government for necessary action on the same day. The government then directed the ministry to implement the recommendations.",Neutral,Lamichhane,Lamichhane,2024-09-22 16:43:00
